valid_time,latitude,longitude,mean_t2m
10-09-24,18.8,72.8,299.98746
11-09-24,19.05,72.8,299.75348
11-09-24,18.8,72.8,299.48907
12-09-24,19.05,72.8,300.3353
12-09-24,18.8,72.8,300.2159
13-09-24,19.05,72.8,300.41083
13-09-24,18.8,72.8,300.1338
14-09-24,19.05,72.8,299.68756
14-09-24,18.8,72.8,299.5865
15-09-24,19.05,72.8,299.3096
15-09-24,18.8,72.8,299.12247
16-09-24,19.05,72.8,299.69107
16-09-24,18.8,72.8,299.3829
17-09-24,19.05,72.8,300.3235
17-09-24,18.8,72.8,300.04703
18-09-24,19.05,72.8,300.46848
18-09-24,18.8,72.8,300.13303
19-09-24,19.05,72.8,301.07767
19-09-24,18.8,72.8,300.75528
20-09-24,19.05,72.8,301.30765
20-09-24,18.8,72.8,301.00394
21-09-24,19.05,72.8,301.23276
21-09-24,18.8,72.8,301.01486
22-09-24,19.05,72.8,301.43777
22-09-24,18.8,72.8,301.3506
23-09-24,19.05,72.8,301.5157
23-09-24,18.8,72.8,301.3847
24-09-24,19.05,72.8,300.83908
24-09-24,18.8,72.8,300.7604
25-09-24,19.05,72.8,300.55508
25-09-24,18.8,72.8,300.47745
26-09-24,19.05,72.8,300.39597
26-09-24,18.8,72.8,300.37833
27-09-24,19.05,72.8,300.4113
27-09-24,18.8,72.8,300.49103
28-09-24,19.05,72.8,300.15582
28-09-24,18.8,72.8,300.0746
29-09-24,19.05,72.8,300.48865
29-09-24,18.8,72.8,300.33942
30-09-24,19.05,72.8,300.89722
30-09-24,18.8,72.8,300.67386
01-10-24,19.05,72.8,301.51254
01-10-24,18.8,72.8,301.19742
02-10-24,19.05,72.8,301.61383
02-10-24,18.8,72.8,301.3527
03-10-24,19.05,72.8,301.7081
03-10-24,18.8,72.8,301.4722
04-10-24,19.05,72.8,300.92496
04-10-24,18.8,72.8,300.7273
05-10-24,19.05,72.8,301.02637
05-10-24,18.8,72.8,300.72556
06-10-24,19.05,72.8,301.56863
06-10-24,18.8,72.8,301.21268
07-10-24,19.05,72.8,302.5416
07-10-24,18.8,72.8,302.1486
08-10-24,19.05,72.8,302.7781
08-10-24,18.8,72.8,302.36514
09-10-24,19.05,72.8,301.84302
09-10-24,18.8,72.8,301.56644
10-10-24,19.05,72.8,301.30063
10-10-24,18.8,72.8,301.10117
11-10-24,19.05,72.8,301.2848
11-10-24,18.8,72.8,301.11227
12-10-24,19.05,72.8,300.75003
12-10-24,18.8,72.8,300.557
13-10-24,19.05,72.8,300.80276
13-10-24,18.8,72.8,300.58194
14-10-24,19.05,72.8,300.92874
14-10-24,18.8,72.8,300.7547
15-10-24,19.05,72.8,300.92804
15-10-24,18.8,72.8,300.76562
16-10-24,19.05,72.8,301.32748
16-10-24,18.8,72.8,300.96732
17-10-24,19.05,72.8,301.55698
17-10-24,18.8,72.8,301.01657
18-10-24,19.05,72.8,302.08618
18-10-24,18.8,72.8,301.78394
19-10-24,19.05,72.8,301.26633
19-10-24,18.8,72.8,301.1507
20-10-24,19.05,72.8,301.47717
20-10-24,18.8,72.8,301.32358
21-10-24,19.05,72.8,301.19815
21-10-24,18.8,72.8,300.98276
22-10-24,19.05,72.8,301.3674
22-10-24,18.8,72.8,301.24368
23-10-24,19.05,72.8,302.2274
23-10-24,18.8,72.8,301.83844
24-10-24,19.05,72.8,302.7206
24-10-24,18.8,72.8,302.5299
25-10-24,19.05,72.8,302.11258
25-10-24,18.8,72.8,301.88217
26-10-24,19.05,72.8,301.73602
26-10-24,18.8,72.8,301.66916
27-10-24,19.05,72.8,301.68765
27-10-24,18.8,72.8,301.60022
28-10-24,19.05,72.8,301.86053
28-10-24,18.8,72.8,301.72394
29-10-24,19.05,72.8,301.6593
29-10-24,18.8,72.8,301.47778
30-10-24,19.05,72.8,301.86136
30-10-24,18.8,72.8,301.48495
31-10-24,19.05,72.8,302.54822
31-10-24,18.8,72.8,302.309
01-11-24,19.05,72.8,302.64603
01-11-24,18.8,72.8,302.4567
02-11-24,19.05,72.8,302.4847
02-11-24,18.8,72.8,302.34384
03-11-24,19.05,72.8,302.68918
03-11-24,18.8,72.8,302.6738
04-11-24,19.05,72.8,302.4802
04-11-24,18.8,72.8,302.49628
05-11-24,19.05,72.8,302.465
05-11-24,18.8,72.8,302.44437
06-11-24,19.05,72.8,302.12466
06-11-24,18.8,72.8,302.11386
07-11-24,19.05,72.8,301.7488
07-11-24,18.8,72.8,302.03635
08-11-24,19.05,72.8,301.73822
08-11-24,18.8,72.8,301.93063
09-11-24,19.05,72.8,301.64532
09-11-24,18.8,72.8,301.84415
10-11-24,19.05,72.8,301.4451
10-11-24,18.8,72.8,301.6898
11-11-24,19.05,72.8,301.30164
11-11-24,18.8,72.8,301.49832
12-11-24,19.05,72.8,301.07413
12-11-24,18.8,72.8,301.17587
13-11-24,19.05,72.8,300.79965
13-11-24,18.8,72.8,301.01138
14-11-24,19.05,72.8,301.0143
14-11-24,18.8,72.8,301.2523
15-11-24,19.05,72.8,301.39676
15-11-24,18.8,72.8,301.62247
16-11-24,19.05,72.8,301.36963
16-11-24,18.8,72.8,301.4875
17-11-24,19.05,72.8,301.74454
17-11-24,18.8,72.8,301.93942
18-11-24,19.05,72.8,301.30154
18-11-24,18.8,72.8,301.5265
19-11-24,19.05,72.8,300.39978
19-11-24,18.8,72.8,300.66147
20-11-24,19.05,72.8,299.7904
20-11-24,18.8,72.8,300.03818
21-11-24,19.05,72.8,299.6597
21-11-24,18.8,72.8,299.8192
22-11-24,19.05,72.8,299.6091
22-11-24,18.8,72.8,299.663
23-11-24,19.05,72.8,299.3057
23-11-24,18.8,72.8,299.40424
24-11-24,19.05,72.8,299.40482
24-11-24,18.8,72.8,299.55862
25-11-24,19.05,72.8,299.5506
25-11-24,18.8,72.8,299.69443
26-11-24,19.05,72.8,299.05783
26-11-24,18.8,72.8,299.35214
27-11-24,19.05,72.8,298.87634
27-11-24,18.8,72.8,299.17517
28-11-24,19.05,72.8,298.66153
28-11-24,18.8,72.8,298.9633
29-11-24,19.05,72.8,298.29343
29-11-24,18.8,72.8,298.4767
30-11-24,19.05,72.8,297.9448
30-11-24,18.8,72.8,298.17374
01-12-24,19.05,72.8,298.56006
01-12-24,18.8,72.8,298.82047
02-12-24,19.05,72.8,299.6453
02-12-24,18.8,72.8,299.68118
03-12-24,19.05,72.8,300.5616
03-12-24,18.8,72.8,300.4966
04-12-24,19.05,72.8,301.06763
04-12-24,18.8,72.8,300.86508
05-12-24,19.05,72.8,300.8186
05-12-24,18.8,72.8,300.6788
06-12-24,19.05,72.8,300.6805
06-12-24,18.8,72.8,300.5158
07-12-24,19.05,72.8,300.2045
07-12-24,18.8,72.8,300.16843
08-12-24,19.05,72.8,298.69742
08-12-24,18.8,72.8,298.87137
09-12-24,19.05,72.8,298.00034
09-12-24,18.8,72.8,298.1421
10-12-24,19.05,72.8,297.9635
10-12-24,18.8,72.8,298.10587
11-12-24,19.05,72.8,298.75967
11-12-24,18.8,72.8,298.9689
12-12-24,19.05,72.8,298.28305
12-12-24,18.8,72.8,298.4702
13-12-24,19.05,72.8,298.36667
13-12-24,18.8,72.8,298.5893
14-12-24,19.05,72.8,298.1387
14-12-24,18.8,72.8,298.42767
15-12-24,19.05,72.8,297.90506
15-12-24,18.8,72.8,298.1144
16-12-24,19.05,72.8,297.697
16-12-24,18.8,72.8,297.90372
17-12-24,19.05,72.8,297.32242
17-12-24,18.8,72.8,297.47446
18-12-24,19.05,72.8,297.27478
18-12-24,18.8,72.8,297.5228
19-12-24,19.05,72.8,297.10318
19-12-24,18.8,72.8,297.20853
20-12-24,19.05,72.8,296.6299
20-12-24,18.8,72.8,296.7441
21-12-24,19.05,72.8,296.65573
21-12-24,18.8,72.8,296.75693
22-12-24,19.05,72.8,297.05942
22-12-24,18.8,72.8,297.29114
23-12-24,19.05,72.8,296.71786
23-12-24,18.8,72.8,296.7717
24-12-24,19.05,72.8,296.99902
24-12-24,18.8,72.8,297.13364
25-12-24,19.05,72.8,297.069
25-12-24,18.8,72.8,297.19406
26-12-24,19.05,72.8,297.47363
26-12-24,18.8,72.8,297.57782
27-12-24,19.05,72.8,297.6351
27-12-24,18.8,72.8,297.67953
28-12-24,19.05,72.8,297.8203
28-12-24,18.8,72.8,297.87283
29-12-24,19.05,72.8,298.2369
29-12-24,18.8,72.8,298.2071
30-12-24,19.05,72.8,299.0372
30-12-24,18.8,72.8,298.9874
31-12-24,19.05,72.8,299.07617
