valid_time,latitude,longitude,mean_tp
26-09-24,18.8,72.8,0.003201561
27-09-24,19.05,72.8,0.001617386
27-09-24,18.8,72.8,0.00092176
28-09-24,19.05,72.8,0.000417843
28-09-24,18.8,72.8,0.000360045
29-09-24,19.05,72.8,0.000142628
29-09-24,18.8,72.8,0.000123482
30-09-24,19.05,72.8,2.39E-05
30-09-24,18.8,72.8,2.24E-05
01-10-24,19.05,72.8,5.52E-06
01-10-24,18.8,72.8,6.53E-06
02-10-24,19.05,72.8,2.70E-05
02-10-24,18.8,72.8,2.67E-05
03-10-24,19.05,72.8,1.47E-05
03-10-24,18.8,72.8,1.92E-05
04-10-24,19.05,72.8,8.87E-05
04-10-24,18.8,72.8,8.30E-05
05-10-24,19.05,72.8,5.20E-05
05-10-24,18.8,72.8,5.51E-05
06-10-24,19.05,72.8,2.83E-05
06-10-24,18.8,72.8,7.13E-05
07-10-24,19.05,72.8,9.46E-05
07-10-24,18.8,72.8,6.46E-05
08-10-24,19.05,72.8,2.89E-07
08-10-24,18.8,72.8,0.000111948
09-10-24,19.05,72.8,5.31E-05
09-10-24,18.8,72.8,7.41E-05
10-10-24,19.05,72.8,0.000420577
10-10-24,18.8,72.8,0.000416613
11-10-24,19.05,72.8,0.00045965
11-10-24,18.8,72.8,0.000449417
12-10-24,19.05,72.8,0.000536342
12-10-24,18.8,72.8,0.00057908
13-10-24,19.05,72.8,0.000625398
13-10-24,18.8,72.8,0.000629237
14-10-24,19.05,72.8,0.00024837
14-10-24,18.8,72.8,0.000235466
15-10-24,19.05,72.8,5.36E-05
15-10-24,18.8,72.8,3.65E-05
16-10-24,19.05,72.8,0.00022563
16-10-24,18.8,72.8,0.000382001
17-10-24,19.05,72.8,0.000103599
17-10-24,18.8,72.8,0.000383036
18-10-24,19.05,72.8,8.07E-05
18-10-24,18.8,72.8,7.88E-05
19-10-24,19.05,72.8,0.000253931
19-10-24,18.8,72.8,0.000170923
20-10-24,19.05,72.8,0.000168159
20-10-24,18.8,72.8,4.59E-05
21-10-24,19.05,72.8,0.000142781
21-10-24,18.8,72.8,0.00018931
22-10-24,19.05,72.8,0.000258679
22-10-24,18.8,72.8,0.00018959
23-10-24,19.05,72.8,3.64E-05
23-10-24,18.8,72.8,4.43E-05
24-10-24,19.05,72.8,0
24-10-24,18.8,72.8,1.19E-08
25-10-24,19.05,72.8,0
25-10-24,18.8,72.8,0
26-10-24,19.05,72.8,0
26-10-24,18.8,72.8,0
27-10-24,19.05,72.8,0
27-10-24,18.8,72.8,0
28-10-24,19.05,72.8,4.37E-08
28-10-24,18.8,72.8,3.97E-09
29-10-24,19.05,72.8,1.65E-05
29-10-24,18.8,72.8,2.07E-05
30-10-24,19.05,72.8,1.91E-07
30-10-24,18.8,72.8,9.26E-07
31-10-24,19.05,72.8,2.32E-06
31-10-24,18.8,72.8,4.35E-06
01-11-24,19.05,72.8,1.04E-06
01-11-24,18.8,72.8,8.52E-06
02-11-24,19.05,72.8,0
02-11-24,18.8,72.8,0
03-11-24,19.05,72.8,0
03-11-24,18.8,72.8,0
04-11-24,19.05,72.8,0
04-11-24,18.8,72.8,0
05-11-24,19.05,72.8,0
05-11-24,18.8,72.8,0
06-11-24,19.05,72.8,0
06-11-24,18.8,72.8,0
07-11-24,19.05,72.8,0
07-11-24,18.8,72.8,0
08-11-24,19.05,72.8,0
08-11-24,18.8,72.8,0
09-11-24,19.05,72.8,0
09-11-24,18.8,72.8,0
10-11-24,19.05,72.8,0
10-11-24,18.8,72.8,0
11-11-24,19.05,72.8,0
11-11-24,18.8,72.8,0
12-11-24,19.05,72.8,0
12-11-24,18.8,72.8,0
13-11-24,19.05,72.8,0
13-11-24,18.8,72.8,0
14-11-24,19.05,72.8,0
14-11-24,18.8,72.8,0
15-11-24,19.05,72.8,1.39E-11
15-11-24,18.8,72.8,4.37E-08
16-11-24,19.05,72.8,2.79E-08
16-11-24,18.8,72.8,4.29E-07
17-11-24,19.05,72.8,0
17-11-24,18.8,72.8,0
18-11-24,19.05,72.8,0
18-11-24,18.8,72.8,0
19-11-24,19.05,72.8,0
19-11-24,18.8,72.8,0
20-11-24,19.05,72.8,0
